Date,Time,Location,Location Type,Pedestrian,Bike,Motorcycle,Veh,Age,Gender ,Lat,Long
2011-01-13,08:25:00,E Hastings St/Nanaimo St,Intersection,1,,,0,10-19,M,49.28114605,-123.0565507
2011-01-16,02:50:00,2500 Blk MacDonald St,Close to intersection,1,,,0,30-39,F,49.26320321,-123.1682048
2011-02-04,15:19:00,Main St/Keefer St,Intersection,1,,,0,70-79,M,49.27948142,-123.0997293
2011-03-14,06:50:00,3100 Blk Grandview Hwy,Mid-Block,1,,,0,70-79,F,49.25814068,-123.0377692
2011-03-31,17:25:00,SW Marine Dr/Kullahun Dr,Intersection,,,1,0,20-29,M,,
2011-04-06,14:27:00,E 22nd Ave/Boyd Dvrs,Intersection,1,,,0,70-79,F,,
2011-05-01,18:59:00,E 41st Ave/Killarney St,Intersection,1,,,0,90-99,M,49.23297119,-123.0459205
2011-06-20,17:52:00,Granville St/Nanton Ave,Close to intersection,,,,1,30-39,M,49.24741348,-123.1391502
2011-06-20,17:52:00,Granville St/Nanton Ave,Close to intersection,,,,1,60-69,F,49.24741348,-123.1391502
2011-06-20,17:52:00,Granville St/Nanton Ave,Close to intersection,,,,1,30-39,F,49.24741348,-123.1391502
2011-06-25,04:12:00,E Hastings St/ Jackson St,Intersection,1,,,0,30-39,F,49.28122081,-123.0934318
2011-06-26,03:07:00,Main St/ EHastings St,Mid-Block,1,,,0,50-59,M,49.28133561,-123.0996488
2011-07-16,23:56:00,200 block E Cordova St,Mid-Block ,1,,,0,60-69,M,49.28226634,-123.0986067
2012-02-10,03:00:00,3000 block E Hastings St,Mid-block,1,,,0,30-39,F,,
2012-03-06,02:57:00,Robson and Howe,Intersection,1,,,0,70-79,F,49.2819962,-123.1208034
2012-03-16,18:59:00,East 41st Avenue and Ross Street,Intersection,1,,,0,70-79,F,49.23278815,-123.0825707
2012-03-27,07:27:00,E 12th Ave / Windsor St,Intersection,,1,,0,30-39,F,49.25966908,-123.0833602
2012-04-15,10:30:00,W 4th Ave / Larch St,Mid-Block,1,,,0,80-89,M,49.26828096,-123.1622445
2012-04-24,01:39:00,Cassiar St / Dundas St,Intersection,,,,1,60-69,M,,
2012-04-24,01:39:00,Cassiar St / Dundas St,Intersection,,,,1,40-49,F,,
2012-06-11,12:27:00,2800 Block West Broadway,Mid-Block,1,,,0,50-59,F,49.26408724,-123.1691421
2012-06-26,12:21:00,00 block of East Hastings,Mid-Block,1,,,0,80-89,F,49.28140389,-123.1033113
2012-07-21,17:46:00,0 block E Waterfront Rd,Mid-Block,,,1,0,40-49,M,49.2847318,-123.099617
2012-08-01,11:34:00,E 20th Ave / Knight St,Intersection,,,,1,60-69,F,49.2525959,-123.0760166
2012-09-18,11:10:00,1119 Hornby St,Mid-block,,,,1,80-89,M,49.27894668,-123.127365
2012-09-19,16:40:00,Main and Terminal,Intersection,1,,,0,40-49,F,49.27277625,-123.1000281
2012-10-27,20:32:00,Powell and Dunlevy,Intersection,1,,,0,50-59,F,49.28310439,-123.0952971
2012-11-09,08:00:00,W 2nd Ave / Burrard St,Intersection,,,1,0,30-39,M,49.26977958,-123.1455468
2012-11-09,08:00:00,W 2nd Ave / Burrard St,Intersection,,,1,0,20-29,F,49.26977958,-123.1455468
2012-11-10,15:00:00,East Georgia and Renfrew,Intersection,1,,,0,80-89,M,49.27826787,-123.044082
2012-11-27,22:54:00,Kingsway and Joyce,Intersection,1,,,0,10-19,F,49.23415345,-123.0358766
2012-12-02,22:00:00,E 43th Ave and Prince Edward,Intersection,1,,,0,40-49,F,49.23109918,-123.0972944
2013-01-26,12:30:00,Cambie St / McGuigan Ave,Intersection,,,,1,20-29,F,49.24043083,-123.1182608
2013-02-08,02:55:00,200 block Georgia Viaduct,Mid-Span,,,,1,20-29,M,,
2013-03-04,09:30:00,600 block E Hastings St,Intersection,1,,,0,50-59,F,49.2811847,-123.0914804
2013-05-06,14:25:00,E 1st Ave / Renfrew St,Intersection,,,,1,80-89,F,49.26949006,-123.0442155
2013-05-20,17:50:00,2301 Lions Gate Brdg Southbound South End,Mid-Span,,,1,0,20-29,M,49.31555276,-123.138343
2013-05-25,19:00:00,0 Stanley Park Cswy,Mid-block,,1,,0,60-69,F,,
2013-05-28,20:30:00,E 1st Avenue and Nootka,Intersection,,,1,0,20-29,M,49.26948245,-123.0414825
2013-06-04,16:30:00,E Hastings and Carrall,Intersection,1,,,0,60-69,M,,
2013-06-15,09:00:00,8000 block Ross St,Close to intersection,,,,1,70-79,F,49.21286739,-123.08317
2013-06-28,13:30:00,1618 E 13th Ave,Mid-Block,1,,,0,50-59,F,,
2013-06-30,18:30:00,100 E Hastings St,Mid-Block,1,,,0,50-59,F,49.28136016,-123.1009519
2013-07-15,12:00:00,Powell and Victoria Dr,Intersection,1,,,0,60-69,F,,
2013-07-29,14:00:00,1100 Block of West 12th,Mid-Block,,1,,0,40-49,F,49.2606373,-123.1302775
2013-08-09,14:00:00,SW Marine Drive at Argyle Street,Intersection,,,1,0,10-19,F,,
2013-10-07,06:30:00,Earles Street at Euclid Avenue,Intersection,1,,,0,70-79,F,49.24119601,-123.0454096
2013-11-26,09:30:00,East Hastings Street at Salsbury Drive,Intersection,1,,,0,50-59,M,49.28121375,-123.0682615
2014-01-16,07:00:00,SE Marine and Kerr, Intersection,,,,1,80-89,M,49.20810709,-123.0422563
2014-03-08,08:00:00,West Hastings and Richards,Intersection,1,,,0,50-59,F,49.2840376,-123.1119042
2014-04-08,14:45:00,800 block E Broadway,Intersection,,,,1,50-59,M,,
2014-05-26,21:00:00,W Pender and Hornby Street,Intersection,,,,1,80-89,F,49.28592821,-123.1168091
2014-07-31,04:00:00,2079 Granville St Brdg Southbound South End,Mid-Span ,,,,1,60-69,M,49.27156176,-123.13456
2014-09-07,10:45:00,Granville Bridge Offramp to W 4th Ave,Mid-Span,,,1,0,50-59,M,49.27156176,-123.13456
2014-10-02,20:30:00,6500 block Main St,Close to intersection,,,,1,80-89,M,49.22566311,-123.101632
2014-10-02,20:30:00,6500 block Main St,Close to intersection,,,,1,70-79,F,49.22566311,-123.101632
2014-10-03,16:05:00,1501 Stanley Park Dr,Mid-Block,1,,,0,70-79,M,,
2014-10-17,08:00:00,1200 block Renfrew St,Mid-Block,1,,,0,70-79,F,49.27373749,-123.0441463
2014-11-27,17:00:00,Oak and Park,Intersection,1,,,0,70-79,F,49.21445864,-123.130047
2014-12-10,20:00:00,Main and Cordova  ,Intersection,1,,,0,70-79,F,49.28228489,-123.0996065
2014-12-16,14:27:00,4500 block W 10th Ave,Mid-block,1,,,0,80-89,M,49.26385275,-123.2106195
2014-12-25,20:30:00,Kingsway and Earles,Intersection,1,,,0,70-79,F,49.23760254,-123.0488446
2014-12-30,15:00:00,Oak and W 15th,Mid-Block,1,,,0,50-59,M,49.25779968,-123.126797
2015-01-02,19:30:00,SW Marine and Laurel Street,Intersection,1,,,0,40-49,F,49.20627838,-123.126322
2015-01-03,17:23:00,6300 block Elliott St,Intersection,1,,,0,80-89,M,49.2263559,-123.0547051
2015-01-16,12:06:00,Davie and Thurlow,Intersection,1,,,0,70-79,M,49.28038401,-123.131197
2015-02-09,23:00:00,East 6th and Keith Drive,Intersection,1,,,0,50-59,F,49.26519771,-123.0793788
2015-03-07,14:45:00,Hawks and East Cordova,Intersection,,,1,0,40-49,M,49.2820522,-123.0871183
2015-03-19,11:00:00,100 block N Nanaimo St,Intersection,,,1,0,30-39,M,,
2015-04-27,15:30:00, Prince Edward St / SE Marine Dr,Parking Lot,1,,,0,60-69,F,49.21083567,-123.0983775
2015-07-04,09:00:00,Kingsway off Broadway,Intersection,1,,,0,60-69,F,49.26285921,-123.099514
2015-08-11,00:51:00,5300 block Boundary Rd,Intersection,1,,,0,40-49,M,49.23491426,-123.0236423
2015-08-19,20:45:00,1100 block SE Marine Dr,Intersection,1,,,0,50-59,M,49.21111851,-123.0840597
2015-09-21,22:00:00,Oak and W 53rd,Intersection,1,,,0,70-79,F,49.22280964,-123.1284512
2015-10-28,07:00:00,100 block E Hastings St,Close to Intersection,1,,,0,60-69,M,49.28136016,-123.1009519
2015-11-05,20:00:00,Victoria and SE Marine Dr,Intersection,1,,,0,10-19,F,49.20968952,-123.0661113
2015-11-14,13:06:00,Oak St & W 41st Ave,Intersection,,,,1,60-69,M,49.2339516,-123.1280743
2016-01-09,21:24:00,Burrard St at W Hastings St,Intersection,,,,1,20-29,F,49.28712275,-123.1170235
2016-01-21,22:27:00,100 Block E Broadway Ave Mid block East Broadway between Main Street & Quebec Street,mid block,1,,,0,80-89,M,49.26293669,-123.1019602
2016-02-09,09:14:00,E 49th Av at Fraser St,Intersection,1,,,0,80-89,M,49.22547178,-123.0907739
2016-03-08,21:28:00,E 41st Ave at Kerr St,Close to intersection,1,,,0,50-59,F,49.23296273,-123.0402279
2016-03-11,00:54:00,2700 Block W Broadway Ave,Mid-block,1,,,0,30-39,M,49.26404143,-123.1665126
2016-03-31,09:22:00,E Broadway & Rupert,Intersection,1,,,0,30-39,F,49.26189129,-123.0337576
2016-04-13,08:50:00,Main & Hastings,Intersection,1,,,0,80-89,F,49.28133561,-123.0996488
2016-04-17,02:32:00,6900 Heather St,mid block,,,,0,30-39,M,49.22147426,-123.1237489
2016-05-17,13:50:00,8501 Stanley Park Dr   ,Close to intersection,,1,,0,70-79,M,,
2016-07-28,12:31:00,1600 Block Duranleau St,Driveway,1,,,0,20-29,F,,
2016-08-29,17:26:00,Seymour & Davie,Intersection,,,,1,60-69,M,49.27650884,-123.1252068
2016-08-29,17:30:00,Seymour & Davie,Intersection,,,,1,70-79,F,49.27650884,-123.1252068
2016-08-31,06:36:00,Main & Hastings,Intersection,1,,,0,40-49,M,49.28133561,-123.0996488
2016-10-03,04:19:00,3400 Block E Hastings St,Mid-block,1,,,0,50-59,M,49.28112365,-123.0295789
2016-10-11,15:11:00,W 49th Av at Yew St,Intersection,1,,,0,60-69,F,49.22720412,-123.1588021
2017-02-22,07:05:00,MacDonald St at W Broadway,Intersection,,,1,0,30-39,M,49.26407036,-123.1681743
2017-04-02,21:17:00,400 SE Marine Dr,Mid-block,,,,1,60-69,F,49.21107469,-123.0962004
2017-04-23,05:06:00,Victoria Diversion at Commercial St,Close to Intersection,,,,1,20-29,M,,
2017-05-28,17:22:00,W 4th Av at Anderson St,Intersection,1,,,0,80-89,M,,
2017-06-18,11:56:00,8200 Block Boundary Rd,Mid-block,,,,1,50-59,F,49.2114886,-123.0235925
2017-08-06,06:18:00,W 4th Av at Trimble St,Intersection,,,,1,20-29,M,49.26896294,-123.2058731
2017-08-13,10:16:00,800 - 900 Canada Place,Mid-block,1,,,0,40-49,M,49.2877967,-123.1141986
2017-08-22,10:33:00,E 41st Ave at Fraser St,Intersection,1,,,0,80-89,F,49.23289146,-123.0905577
2017-09-17,14:50:00,E 12th Av at Commercial Dr,Intersection,1,,,0,80-89,F,49.25956122,-123.0698156
2017-11-01,15:28:00,Columbia St at E Pender St,Intersection,1,,,0,80-89,M,49.28043451,-123.1022971
2017-12-13,11:38:00,Slocan St at E 20th Av,Close to Intersection,1,,,0,70-79,F,49.25238284,-123.0495864
2017-12-19,01:00:00,Burrard Bridge,Midblock,,,,1,30-39,M,49.27538076,-123.137183
2017-12-20,07:00:00,Jepson-Young Lane  ,Midblock,1,,,0,,F,,
2017-12-24,12:00:00,Cambie St at Dunsmuir St,Intersection,,,,1,70-79,F,49.28046912,-123.1115363
2006-06-19,,Knight St/E 62nd Av,,1,,,0,30-39,M,49.21376177,-123.0770884
2007-07-01,,2200 Block SW Marine Dr,,,,1,0,50-59,M,49.22073666,-123.1585583
2006-01-02,,8500 Block Fraser St,,,,,1,30-39,M,,
2006-01-07,,Nanaimo St/Parker St,,1,,,0,80-89,M,49.27580688,-123.0565749
2006-01-17,,Quebec St/National Av,,,,,1,50-59,M,49.27495447,-123.1019214
2006-01-27,,Main St/E 18th Av,,,,,1,20-29,F,49.25479432,-123.1009926
2006-01-28,,2700 Block Trans Canada Hwy,,,,,1,20-29,M,,
2006-01-28,,2700 Block Trans Canada Hwy,,,,,1,20-29,M,,
2006-01-28,,2700 Block Trans Canada Hwy,,,,,1,20-29,M,,
2006-01-28,,2700 Block Trans Canada Hwy,,,,,1,20-29,M,,
2006-02-03,,E 55th Av/Kerr St,,1,,,0,50-59,F,49.21916378,-123.0413395
2006-03-02,,700 Block Gore Street,,1,,,0,70-79,F,49.27807203,-123.0970209
2006-03-04,,3300 Block Marine Way,,,,,1,30-39,M,49.20699709,-123.0337606
2006-03-10,,37th Av/Knight St,,,,,1,40-49,F,49.23685247,-123.0768903
2006-04-07,,Melville St/Thurlow St,,1,,,0,50-59,M,49.28646334,-123.1220054
2006-05-09,,E 41st Av/Main St,,1,,,0,80-89,F,49.2330791,-123.1015186
2006-06-11,,800 Block Howe St,,1,,,0,10-19,M,49.28147458,-123.1216087
2006-06-27,,Granville St/Drake St,,1,,,0,50-59,M,,
2006-07-01,,100 W Cordova St,,,,,1,20-29,M,49.28314917,-123.1079856
2006-07-08,,W 4th Av/Trimble St,,,1,,0,60-69,M,49.26896294,-123.2058731
2006-07-09,, E Hastings St/Carrall St,,,,,1,30-39,M,,
2006-07-21,,400 Block E Broadway ,,,,,1,20-29,F,49.26251786,-123.0945002
2006-07-28,,Clark Dr/N Grandview Hwy,,,1,,0,60-69,M,,
2006-09-17,,6900 Fleming St,,1,,,0,0-10,M,49.22107554,-123.0733152
2006-10-22,,1100 Block E 60th Av,,1,,,0,40-49,M,49.21554129,-123.0816229
2006-12-05,,E Broadway/Clark Dr,,1,,,0,40-49,M,49.26238115,-123.0775006
2007-01-11,,6500 Oak St,,1,,,0,20-29,F,49.22611837,-123.1283314
2007-01-17,,W 60th Av/West Boulevard,,1,,,0,40-49,F,49.21713105,-123.1491347
2007-01-26,,1300 Main St/Terminal Av,,1,,,0,60-69,F,,
2007-01-31,,Elliott St/Waverley Av,,1,,,0,30-39,F,49.22676947,-123.0546939
2007-02-01,,E 1st Av/Rupert St,,,,1,0,40-49,M,49.26945987,-123.0336927
2007-02-14,,2500 Block E 1st Av,,1,,,0,30-39,M,49.26950746,-123.0533938
2007-07-05,,W 45th Av/Cambie St,,1,,,0,50-59,F,49.2298159,-123.1163429
2007-07-06,,1700 Block E 49th Av,,,,1,0,20-29,M,49.22522239,-123.0703841
2007-07-12,,Granville St/Balfour St,,,,,1,20-29,M,49.25192269,-123.1389918
2007-07-25,,W Broadway/Maple St,,1,,,0,40-49,F,49.2637899,-123.150529
2007-08-01,,4500 Block Nanaimo St,,1,,,0,80-89,F,49.24401944,-123.056654
2007-08-16,,Hemlock St on ramp/W 4th Av,,,,,1,40-49,M,49.2671372,-123.135963
2007-08-17,,Stanley Park Causeway,,,,,1,70-79,F,,
2007-09-15,,1900 Block Granville St Bridge,,,,1,0,20-29,M,49.27156176,-123.13456
2007-09-18,,W Georgia St/Beatty St,,1,,,0,50-59,M,,
2007-10-08,,W 4th Av/Trafalgar St,,,1,,0,60-69,M,49.2683168,-123.1645186
2007-10-14,,Oak St/W 70th Av,,1,,,0,20-29,F,49.20847126,-123.1302457
2007-11-15,,Granville St/Davie St,,1,,,0,70-79,M,49.27715047,-123.1261986
2007-11-15,,Renfrew St/Charles St,,1,,,0,70-79,M,49.27326263,-123.0441544
2007-11-20,,4200 Blk W 4th Av,,,,,1,30-39,M,49.26834118,-123.2010862
2007-11-26,,Venables St/Raymur Av,,,,,1,50-59,M,49.2768308,-123.0826008
2007-12-08,,W 4th Av/NW Marine Dr,,,,,1,20-29,M,49.2688558,-123.1994677
2007-12-19,,Hemlock St/W 14th Av,,1,,,0,80-89,F,49.2588724,-123.1362709
2007-12-27,,W 41st Av/Dunbar St,,1,,,0,80-89,M,49.23476621,-123.185339
2008-01-05,,E Hastings St/Kamloops St,,1,,,0,80-89,F,49.28114529,-123.0545815
2008-01-09,,Main St/E Hastings St,,1,,,0,80-89,F,49.28133561,-123.0996488
2008-01-13,,100 W 2nd Av,,,,,1,20-29,M,49.26930059,-123.1079991
2008-01-16,,2900 Block Main St,,1,,,0,40-49,M,49.25884565,-123.1011331
2008-01-28,,700 Block E 12th Av,,,,,1,20-29,F,49.25970856,-123.088196
2008-03-14,,Main St/E Hastings St,,1,,,0,60-69,M,49.28133561,-123.0996488
2008-03-29,,7500 Block Oak St,,,,,1,20-29,M,49.21581117,-123.1298446
2008-06-28,,2600 Blk E Broadway,,,,1,0,20-29,M,49.2620134,-123.0508914
2008-06-30,,2000 Blk Main St,,,1,,0,50-59,M,49.26686209,-123.1007941
2008-07-11,,Victoria Dr/E Hastings St,,,,1,0,60-69,M,49.28117685,-123.0655742
2008-07-15,,2400 Blk Clark  Dr,,1,,,0,40-49,M,49.26285553,-123.0774912
2008-08-10,,Oak St/Connaught Dr,,,,1,0,20-29,M,49.24353287,-123.1277464
2008-08-23,,900 Blk Powell St,,1,,,0,30-39,F,49.28258196,-123.0831508
2008-09-10,,200 Blk Powell St,,1,,,0,50-59,F,49.28317314,-123.0986512
2008-09-21,,Commercial Dr/Grandview Hwy N.,,1,,,0,60-69,M,49.26371788,-123.0697361
2008-11-20,,2900 W Broadway ,,1,,,0,70-79,M,49.26412124,-123.1710762
2008-11-25,,6454 Killarney St,,,,,1,20-29,M,49.22530781,-123.045656
2008-12-07,,Main St/E 6th Av,,1,,,0,50-59,M,49.26550616,-123.100851
2008-12-16,,400 Blk Kingsway,,1,,,0,40-49,M,49.2582316,-123.0938835
2010-01-04,,E Hastings St/Kootenay St,,1,,,0,60-69,F,49.28112053,-123.0256963
2010-01-10,,3100 Blk E 49th Ave,,1,,,0,20-29,F,49.22473621,-123.0399358
2010-01-19,,500 Blk E King Edward Ave,,1,,,0,20-29,M,49.24867441,-123.0930922
2010-04-29,,Powell St/Hawks Ave,,,,,1,90-99,M,49.28295769,-123.0870805
2010-06-12,,4900 Blk Oak St,,,,,1,50-59,M,49.23954576,-123.1278831
2010-07-21,,E 8th Ave/Quebec St,,,1,,0,20-29,M,49.26373392,-123.1029292
2010-08-24,,2150 Hemlock St,,,,1,0,40-49,M,49.26664189,-123.1359809
2010-10-21,,Eton St/N Renfrew St,,1,,,0,70-79,M,49.28770548,-123.0440671
2010-11-03,,1150 Station St,,1,,,0,80-89,F,49.2735596,-123.0986099
09-139072,,3700 Blk Arbutus St,,,,,1,20-29,M,49.25303763,-123.1530513
09-14860,,W King Edward Av/Arbutus St,,1,,,0,40-49,F,49.25154824,-123.153109
09-151434,,Expo Blvd/Abbott St,,1,,,0,0-10,F,49.27864779,-123.1076207
09-173786,,Trans Canada Hwy/McGill St Off Ramp,,,,,1,30-39,M,,
09-180113,,Denman St/Davie St,,1,,,0,70-79,F,49.28725357,-123.1418096
09-191319,,Nelson St/Denman St,,1,,,0,70-79,M,49.28936538,-123.1386213
09-210508,,300 Block Prior St,,1,,,0,70-79,M,49.27669972,-123.0962071
09-21553,,1500 Blk E Broadway,,1,,,0,80-89,M,49.2623348,-123.0716968
09-217975,,Cambie St/Dunsmuir St,,,,1,0,30-39,M,49.28046912,-123.1115363
09-22698,,W 4th Av/Anderson St,,1,,,0,20-29,F,,
09-22698,,W 4th Av/Anderson St,,1,,,0,30-39,M,,
09-23437,,1588 Rand Av,,1,,,0,70-79,M,49.20506731,-123.1419344
09-23636,,1100 Blk Davie St,,1,,,0,30-39,M,49.28108359,-123.1322781
09-64198,,Granville St/W 49th Av,,,,1,0,20-29,M,49.22696578,-123.1398433
09-85785,,W 70th Av/Heather St,,,,1,0,40-49,M,49.20837856,-123.1241998
09-98997,,Point Grey Rd/Bayswater St,,,,,1,90-99,F,49.27108036,-123.1709708
2/1/2018,17:57:00,E King Edward Ave at Inverness St,Intersection,1,,,0,50-59,M,49.24852516,-123.0800274
2018-03-04,00:54:00,4200 Block W 16th Ave,Close  to Intersection,,,,1,20-29,M,49.2581778,-123.2016887
2018-04-04,21:15:00,E 12th Ave / Clark Dr,Intersection,1,,,0,20-29,F,49.2596221,-123.0775552
2018-04-09,15:00:00,W King Edward Av/Crown St,Intersection,,,,1,0-10,M,49.25009298,-123.1936092